CITY_RENTAL_ZONE,POPULATION,FEDERAL_STATE
Aachen,245885,Nordrhein-Westfalen 
Aschaffenburg,68986,Bayern
Augsburg,286374,Bayern
Bayreuth,72148,Bayern
Berlin,3520031,Berlin
Bielefeld,333090,Nordrhein-Westfalen 
Bietigheim-Bissingen,43068,Baden-Württemberg
Cottbus,99687,Brandenburg
Deggenhausertal,4243,Baden-Württemberg
Dillingen,20385,Bayern
Duisburg,491231,Nordrhein-Westfalen 
Dübbekold,56,Niedersachsen
Düsseldorf,612178,Nordrhein-Westfalen 
Eisenach,42588,Thüringen 
Erfurt,210118,Thüringen 
Eriskirch,4815,Baden-Württemberg
Essen,582624,Nordrhein-Westfalen 
Flugh. Berlin,120,Berlin
Frankfurt am Main,732688,Hessen
Freiburg,226393,Baden-Württemberg
Friedrichshafen,59108,Baden-Württemberg
Fulda,67253,Hessen
Garmisch-Partenkirchen,25581,Bayern
Gelsenkirchen,262528,Nordrhein-Westfalen 
Göppingen,56904,Baden-Württemberg
Halle,236991,Sachsen-Anhalt
Hamburg,1787408,Hamburg
Hamm,179397,Nordrhein-Westfalen 
Hannover,532163,Niedersachsen 
Heidelberg,156267,Baden-Württemberg
Heilbronn,122567,Baden-Württemberg
Heusweiler,18201,Saarland
Hildesheim,101667,Niedersachsen 
Homburg / Saar,42040,Saarland
Ingolstadt,132438,Bayern
Jena,109527,Thüringen 
Kaiserslautern,98520,Rheinland-Pfalz 
Karlsruhe,307755,Baden-Württemberg
Kiel,246306,Schleswig-Holstein
Kleinblittersdorf,11053,Saarland
Krefeld,225144,Nordrhein-Westfalen 
Kressbronn am Bodensee,8487,Baden-Württemberg
Köln,1060582,Nordrhein-Westfalen 
Losheim am See,16023,Saarland
Ludwigsburg,92973,Baden-Württemberg
Lübeck,216253,Schleswig-Holstein
Lüneburg,74072,Niedersachsen 
Mannheim,305780,Baden-Württemberg
Markdorf,13811,Baden-Württemberg
Meckenbeuren,13265,Baden-Württemberg
Meschede,30081,Nordrhein-Westfalen 
Mettlach,12209,Saarland
Minden,81637,Nordrhein-Westfalen 
Mönchengladbach,259996,Nordrhein-Westfalen 
Mülheim / Ruhr,169278,Nordrhein-Westfalen 
München,1450381,Bayern
Münster,310039,Nordrhein-Westfalen 
Neuss,155414,Nordrhein-Westfalen 
Oberhausen,210934,Nordrhein-Westfalen 
Offenburg,58465,Baden-Württemberg
Oldenburg (Oldb),163830,Niedersachsen 
Osnabrück,162403,Niedersachsen 
Ottweiler,14571,Saarland
Panketal,20131,Brandenburg
Potsdam,167745,Brandenburg
Ravensburg,50095,Bayern
Riegelsberg,14763,Bayern
Rosenheim,61844,Bayern
Rostock,206011,Mecklenburg-Vorpommern
Saarbrücken,178151,Saarland
Saarlouis,196609,Saarland
Salem,11265,Baden-Württemberg
Schweinfurt,51969,Bayern
Schwerin,96800,Mecklenburg-Vorpommern
Siegburg,41034,Nordrhein-Westfalen 
St. Ingbert,36069,Saarland
St. Wendel,26106,Saarland
Stralsund,58041,Mecklenburg-Vorpommern
Stuttgart,623738,Baden-Württemberg
Trier,114914,Rheinland-Pfalz 
Troisdorf,74400,Nordrhein-Westfalen 
Ulm,122636,Baden-Württemberg
Viernheim,34100,Hessen
Weimar,64131,Thüringen 
Wuppertal,350046,Nordrhein-Westfalen 
