"HAL_ID";"CATEGORY";"COMPANY";"COMPANY_GROUP"
"100000";"Werbeklasse (mit Beklebung)";"Flinkster (Endkd.)";"DB Fuhrpark"
"100001";"Kleinklasse (teilweise ohne Navi)";"Flinkster (Endkd.)";"DB Fuhrpark"
"100002";"Mini (teilweise ohne Navi)";"Flinkster (Endkd.)";"DB Fuhrpark"
"100003";"Kompaktklasse";"Flinkster (Endkd.)";"DB Fuhrpark"
"100004";"Zubehör";"Flinkster (Endkd.)";"DB Fuhrpark"
"100005";"Mittelklasse";"Flinkster (Endkd.)";"DB Fuhrpark"
"100006";"Komfortklasse";"Flinkster (Endkd.)";"DB Fuhrpark"
"100007";"Van-/Busklasse";"Flinkster (Endkd.)";"DB Fuhrpark"
"100008";"Oberklasse";"Flinkster (Endkd.)";"DB Fuhrpark"
"100009";"Transport I";"Flinkster (Endkd.)";"DB Fuhrpark"
"100010";"Transport II";"Flinkster (Endkd.)";"DB Fuhrpark"
"100011";"Transport III";"Flinkster (Endkd.)";"DB Fuhrpark"
"100012";"Sonderklasse (Alfa MiTo / Citroën DS3)";"Flinkster (Endkd.)";"DB Fuhrpark"
"100013";"Sonderklasse (Fiat 500)";"Flinkster (Endkd.)";"DB Fuhrpark"
"100014";"Sonderklasse (C-Klasse)";"Flinkster (Endkd.)";"DB Fuhrpark"
"100015";"Sonderklasse (Ka)";"Flinkster (Endkd.)";"DB Fuhrpark"
"100020";"Versicherung pro Fahrt";"Flinkster (Endkd.)";"DB Fuhrpark"
"100053";"Miniklasse Flughafen";"Flinkster (Endkd.)";"DB Fuhrpark"
"100054";"Kompaktklasse Flughafen";"Flinkster (Endkd.)";"DB Fuhrpark"
"100055";"Mittelklasse Flughafen";"Flinkster (Endkd.)";"DB Fuhrpark"
